State,City,Category,Alcohol,Hotel Name,Address,Total Rooms
Haryana,Gurgaon,3 Star,Without Alcohol,Country Inn & Suites By Carlson (A Unit of Tuberose Hotel),"Plot No.301-302, Sector - 12, Old Delhi Road, Gurgaon - 122001, Haryana, India",73
Haryana,Gurgaon,3 Star,Without Alcohol,Fortune Park Orange. A unit Of Orange SPA Hotel and Resorts Pvt. Ltd,"K.M. Stone 67, NH-8, Sidhrawali",96
Haryana,Gurgaon,3 Star,Without Alcohol,IBIS GURGAON,ibis Gurgaon Golf Course Road Block 1 Sector 53 Gurgaon,214
Haryana,Gurgaon,3 Star,Without Alcohol,"Lemon Tree Hotel, Tarudhan Valley - Manesar (A unit of Coronet Hotel Services and Supplies Pvt. Ltd.)","Tarudhan Valley, Village Dadu, P.O. Hasanpur, Tehsil Tauru, District Mewat Gurgaon",70
Haryana,Gurgaon,3 Star,Without Alcohol,"Lemon Tree Hotel,Tarudhan Valley","Lemon Tree Hotel, Tarudhan Valley, Village Dadu, Tehsil Tauru, Mewat, Gurugram Gurgaon",70
Haryana,Gurgaon,3 Star,Without Alcohol,Skycity Hotels Private Limited,"1,Old Judicial Complex, Jharsa Road, Sector-15,Gurgaon",55
Haryana,Rewari,3 Star,Without Alcohol,Aravali Resorts,"76th Mile Stone, NH8, Dharuhera, District Rewari",29
Himachal Pradesh,Solan,3 Star,Without Alcohol,Timber Trail Resort (Unit of Asia Resort Ltd.),"Parwanoo, Distt. Solan , Himachal Pradesh",28
Karnataka,Bangalore,3 Star,Without Alcohol,Angsana Oasis Spa and Resort (A unit of Prestige Leisure Resorts Pvt. Ltd.),ADDEVISHWANATHAPURA VILLAAGE MAIN DODDABALLAPURA ROAD RAJANUKUNTE BANGALORE 560064 Bangalore Bangalore,79
Karnataka,Bangalore,3 Star,Without Alcohol,"Holiday Inn Express and Suites Bengaluru, OMR, Unit of Brigade Hotel Ventures Limited","Survey No. 49, Huskur Village, Bidarahalli Hobli, Bengaluru East Taluk, ",237
Kerala,Adoor,3 Star,Without Alcohol,CENTRAL PARK HOTEL,"OPP. RELIANCE FILLING STATION, K P ROAD , ADOOR, ",10
Kerala,Alappuzha,3 Star,Without Alcohol,ALLEPPEY PRINCE HOTEL,"A.S.ROAD,NH.47,ALAPPUZHA,KERALA STATE",43
Kerala,Alappuzha,3 Star,Without Alcohol,Enkey's Residency,Pathirappally NH 66 Pathirappally PO ,10
Kerala,Alappuzha,3 Star,Without Alcohol,HOTEL INDRAPRASTHA,"CHARUMMOODU PO, MAVELIKARA, ALAPPUZHA, KERALA ",10
Kerala,Alappuzha,3 Star,Without Alcohol,HOTEL KALAI,"HOTEL KALAI, KUTTITHERUVU JN, Kayamkulam, Alappuzha",15
Kerala,Alappuzha,3 Star,Without Alcohol,HOTEL KARTHIYAYINI,"HOTEL KARTHIYAYINI, OTTAPPUNNA JUNCTION, CHERTHALA PO, ALAPPUZHA 688524",12
Kerala,Alappuzha,3 Star,Without Alcohol,JEENA RESIDENCY,"OPP KSRTC BUS STATION, HARIPAD, ALAPPUZHA DISTRICT",10
Kerala,Alappuzha,3 Star,Without Alcohol,Magnet Hotels,V.C.S.B Road Near KSRTC Bus stand Alleppey,12
Kerala,Alappuzha,3 Star,Without Alcohol,THE ROYALE PLAZA,"THE ROYALE PLAZA, NEAR RAILWAY OVER BRIDGE, K P ROAD, KAYAMKULAM, ",24
Kerala,Angamaly,3 Star,Without Alcohol,HOTEL BLUE BELLS (a Unit of EDASSERY MOTELS AND VILLAS) ,"HOTEL BLUE BELLS, ANGADIKADAVU ROAD, ANGAMALY.P.O, ERNAKULAM DISTRICT, KERALA-683572",14
Kerala,Angamaly,3 Star,Without Alcohol,HOTEL HILLS PARK [MATHA ENTERPRISES],"NEAR KSRTC BUS STAND, ANGAMALY, ERNAKULAM ",17
Kerala,Angamaly,3 Star,Without Alcohol,HOTEL MAXX INN,"KARUKUTTY, ERNAKULAM",10
Kerala,Angamaly,3 Star,Without Alcohol,The Hotel Chettungal,"Aluva Road, Angamaly",10
Kerala,Angamaly,3 Star,Without Alcohol,Vrindavan Retreat,"Bldg.No.IV-38,Madhurapuram,Mekkad-Vattaparambu Road,Mekkad (Post),Athani,Ernakulam(Dist.).",10
Kerala,Attingal,3 Star,Without Alcohol,DEV RESIDENCY,"MOONUMUKKU,ATTINGAL P.O.,ATTINGAL,THIRUVANANTHAPURAM",11
Kerala,Calicut,3 Star,Without Alcohol,Hill Side ,"Near NIT, Kariyakulangara , Mukkam,Calicut. Kerala ",11
Kerala,Calicut,3 Star,Without Alcohol,Hotel Maharani (A unit of Hotel Maharani Pvt. Ltd.),Taluk Road. Puthiyara P.O. Kozhikode Calicut,43
Kerala,Calicut,3 Star,Without Alcohol,Hotel Surya,"Paithoth Road, Perambra, Kozhikode",15
Kerala,Calicut,3 Star,Without Alcohol,Mavoor Regency,"Poovattuparamba P.O, Kozhikode",10
Kerala,Calicut,3 Star,Without Alcohol,Park Residency,"G H Road, Calicut",20
Kerala,Calicut,3 Star,Without Alcohol,"Park Residency - Kuttiyadi, A unit of Flair Hotels and Resorts Pvt. Ltd","ADUKKATH PO, KUTTIYADI, CALICUT. Calicut",16
Kerala,Calicut,3 Star,Without Alcohol,Prinz Residency,"Near Chengottukavu Bridge, P O Melur, Koyilandy",17
Kerala,Calicut,3 Star,Without Alcohol,The North Park,"N H Bye Pass, Nut Street, Vatakara, Calicut Dist Calicut Calicut",18
Kerala,Chalakudy,3 Star,Without Alcohol,Hotel Harshavardhana Inn,"Opposite Apollo Tyres, N H-47, Potta (Post), Chalakudy.",15
Kerala,Chalakudy,3 Star,Without Alcohol,Hotel Rachana Continental (A unit of Hotel Rachana Continental Pvt Ltd.),"KSRTC Road, Chalakudy, Thrissur Chalakudy",14
Kerala,Changanassery,3 Star,Without Alcohol,Hotel Panchavady,"Near KSRTC, Kavala, Changanacherry, Kottayam",12
Kerala,Changanassery,3 Star,Without Alcohol,"Hotel Breezeland, A unit of Breezeland Hotels Ltd.","By Pass Junction, M C Road, Vazhappally, Changanacherry. Changanassery",18
Kerala,Changanassery,3 Star,Without Alcohol,HOTEL VANI,"CENTRAL JUNCTION ,KAVALA,CHANGANASSERY",16
Kerala,Chengannur,3 Star,Without Alcohol,NAVARATNA TOURIST HOME,"M C Road , Chengannur , Alappuzha (Dist)",10
Kerala,CHERAI,3 Star,Without Alcohol,Cherai beach resorts,"Cherai.po, vypin island Ernakulam district ,Kerala State-683513 CHERAI CHERAI",25
Kerala,Cherthala,3 Star,Without Alcohol,Hotel Aroor Residency ,"NH 66,Aroor,Alappuzha, Kerala",17
Kerala,Cherthala,3 Star,Without Alcohol,Hotel Envees,"Hotel Envees , Eramalloor, Cherthala",10
Kerala,Cherthala,3 Star,Without Alcohol,Keerthi Palace Restaurant,Ponnamvely Pattanakkad.P.O Cherthala Cherthala,10
Kerala,Ernakulam,3 Star,Without Alcohol,Amruthu Residency,"M.C Road, Koothattukulam, Ernakulam",13
Kerala,Ernakulam,3 Star,Without Alcohol,Arpitha Tourist Home,Nayarambalam Ernakulam,10
Kerala,Ernakulam,3 Star,Without Alcohol,Aruna Tourist Home,"A M Road, Perumbavoor, Ernakulam",10
Kerala,Ernakulam,3 Star,Without Alcohol,ARYA INTERNATIONAL,"NELLAD, ERNAKULAM Ernakulam",15
Kerala,Ernakulam,3 Star,Without Alcohol,ATSWILLINGDON HOTEL,"ATS WILLINGDON HOTEL , A BRANCH OF P K MOHAMMED PRIVATE LIMITED, WILLINGDON ISLAND, KOCHI 682029 Ernakulam",19
Kerala,Ernakulam,3 Star,Without Alcohol,Cochin Seaport Hotel,"Thekkanmalipuram, Azheekkal P.O..Vypeen,Ernakulam 682510",25
Kerala,Ernakulam,3 Star,Without Alcohol,Diana Tourist Home,"Koothattukulam, Ernakulam Dist,",10
Kerala,Ernakulam,3 Star,Without Alcohol,ELOOR TOURIST HOME,"KUTTIKATTUKARA P.O, UDYOGAMANDAL, ERNAKULAM DISTRICT",15
Kerala,Ernakulam,3 Star,Without Alcohol,Gopika Regency,"NH17, Chirakkakam, Varapuzha, Cochin",20
Kerala,Ernakulam,3 Star,Without Alcohol,HAMILTON RESIDENCY (A UNIT OF HOTEL HAMILTON RESIDENCY PVT LTD),"HAMILTON RESIDENCY (A UNIT OF HOTEL HAMILTON RESIDENCY PVT LTD), KURUPPAMPADY, PERUMBAVUR, ERNAKULAM",10
Kerala,Ernakulam,3 Star,Without Alcohol,Hotel Amruthu,"Thoppumpady, Ernakulam District,",10
Kerala,Ernakulam,3 Star,Without Alcohol,Hotel Chandni Park (Hind Resorts and Services Pvt Ltd.),"South Kalamassery, Ernakulam",11
Kerala,Ernakulam,3 Star,Without Alcohol,HOTEL EDASSERY MANSION,"HOTEL EDASSERY MANSION, KATHRIKADAVU, KALOOR.P.O, ERNAKULAM-682017, KERALA",32
Kerala,Ernakulam,3 Star,Without Alcohol,Hotel Elegance (A unit of Perumbavoor Hotels and Resorts Pvt. Ltd.),"M.C. ROAD, PULLUVAZHI.P.O, PERUMBAVOOR, ERNAKULAM, PIN-683541",12
Kerala,Ernakulam,3 Star,Without Alcohol,Hotel Geo,"Thoppumpady, Kochi",10
Kerala,Ernakulam,3 Star,Without Alcohol,HOTEL GREEN PALACE,"PAMPAKUDA P.O.,MUVATTUPUZHA,ERNAKULAM",11
Kerala,Ernakulam,3 Star,Without Alcohol,Hotel Hill Palace (South Asia Hotels Ltd),"Refinery Road, Irumpanam Junction, Thripunithura",32
Kerala,Ernakulam,3 Star,Without Alcohol,"Hotel Kadambari Regency, A unit of Hotel Kadambari Regency Private Limited","BLDG. NO. XVII (264-275), M C ROAD, MAROTTICHODI, MATTOOR.P.O, KALADY, ERNAKULAM DISTRICT Ernakulam",11
Kerala,Ernakulam,3 Star,Without Alcohol,HOTEL KEERTHY,"HOTEL KEERTHY, M.C. ROAD, KOOTHATTUKULAM.P.O, ERNAKULAM DISTRICT, KERALA",10
Kerala,Ernakulam,3 Star,Without Alcohol,HOTEL KOTTARAM ,"Murikkumpadom, Vypeen , Cochin ",11
Kerala,Ernakulam,3 Star,Without Alcohol,HOTEL NAYANA,"(A UNIT OF HOTEL NAYANA PRIVATE LIMITED), P M ROAD, VAZHAKULAM.P.O, MUVATTUPUZHA, ERNAKULAM DISTRICT",10
Kerala,Ernakulam,3 Star,Without Alcohol,Hotel Olive Eva,Opp Info Park Smart City Kakkanad Ernakulam,44
Kerala,Ernakulam,3 Star,Without Alcohol,HOTEL PALACE INN,"(A UNIT OF PLANET GROUP), BEHIND KSRTC BUS STAND, T B JUNCTION, ANGAMALY, ERNAKULAM DISTRICT",12
Kerala,Ernakulam,3 Star,Without Alcohol,Hotel Panoramic,Parappuram.P.O Kanjoor Ernakulam,10
Kerala,Ernakulam,3 Star,Without Alcohol,Hotel Saj International,Medical College Jn Kolenchery -Post,14
Kerala,Ernakulam,3 Star,Without Alcohol,HOTEL SEA GATE,"SEA GATE,PATHADIPALAM,SOUTH KALAMASSERY,COCHIN ,KERALA.",10
Kerala,Ernakulam,3 Star,Without Alcohol,Hotel Zodiac,"Market Junction, Tripunithura, Ernakulam",10
Kerala,Ernakulam,3 Star,Without Alcohol,Jawahar Tourist Home,"A.M Road, Kothamangalam, Ernakulam",11
Kerala,Ernakulam,3 Star,Without Alcohol,KATHRIKADAVU TOURIST HOME (HOTEL SEA PEARL ),"KUTTAPPAI ROAD, NEAR SARITHA THEATRE, ERNAKULAM DT, ERNAKULAM, KERALA-682031",10
Kerala,Ernakulam,3 Star,Without Alcohol,KIZHAKKAMBALAM TOURIST HOME,"KIZHAKKAMBALAM TOURIST HOME, KIZHAKKAMBALAM, ERNAKULAM DISTRICT, KERALA-683562",15
Kerala,Ernakulam,3 Star,Without Alcohol,LOVEDONS GARDEN,"KOLENCHERY.P.O, ERNAKULAM",10
Kerala,Ernakulam,3 Star,Without Alcohol,MAHARANI HOLIDAY HOME,"( A UNIT OF MAHARANI HOLIDAY HOMES (P) LTD), PIRAVOM.P.O, ERNAKULAM DISTRICT",10
Kerala,Ernakulam,3 Star,Without Alcohol,Maria International,"Kothamangalam.P.O, Ernakulam",17
Kerala,Ernakulam,3 Star,Without Alcohol,Niko Hotels (A Unit of Hikari Hotels Pvt. Ltd.),"K P Vallon Road,Kadavanthra,Cochin,Kerala,682020 Ernakulam",27
Kerala,Ernakulam,3 Star,Without Alcohol,Park Central (A unit of Hotel Siena Central Private Limited),"36 - 1856 - A, Kaloor - Kadavanthra Road, Kaloor - 682017, Kerala",17
Kerala,Ernakulam,3 Star,Without Alcohol,Park Residency,"Girinagar Link Road, Kadavanthra,Cochin, Kerala ",15
Kerala,Ernakulam,3 Star,Without Alcohol,Polakulath Regency ,"Jewel Junction, M G Road, Ernakulam ,Cochin ",10
Kerala,Ernakulam,3 Star,Without Alcohol,POLAKULATH TOURIST HOME,POLAKULATH TOURIST HOME MULANTHURUTHY ERNAKULAM 682314 Ernakulam,12
Kerala,Ernakulam,3 Star,Without Alcohol,Polakulath Tourist Home ,"Polakulath Tourist Home, S N Jn , Palarivattom,Cochin ",14
Kerala,Ernakulam,3 Star,Without Alcohol,Prayana Hotels,"Near E.S.I.Hospital.Opposite North Railway Station,Ernakulam",24
Kerala,Ernakulam,3 Star,Without Alcohol,Rock Rose Tourist Home (A unit of Rock Rose Tourist Home (P) Ltd),"NH Byepass, Palarivattom, Puthiya Road, Kochi, Kerala Ernakulam",11
Kerala,Ernakulam,3 Star,Without Alcohol,Rose Residency,"NH 49, Cochin Madura Road, Near Block Jn, Kolenchery",36
Kerala,Ernakulam,3 Star,Without Alcohol,SONIA TOURIST HOME,"M C ROAD, KOOTHATTUKULAM Ernakulam",14
Kerala,Ernakulam,3 Star,Without Alcohol,Sreevalsam Residency,"Mattoor, M C Road, Kalady, Ernakulam Ernakulam Ernakulam",10
Kerala,Ernakulam,3 Star,Without Alcohol,XL HOTEL,"A K SAnthosh, Propriter, XL hotel, Rose street, Fort kochi -682001",10
Kerala,Ettumanoor,3 Star,Without Alcohol,Hotel Sreelakshmi Park,"Pala Road,Ayarkunnam,Kottayam.",11
Kerala,Guruvayoor,3 Star,Without Alcohol,Hotel Amaravathi ,"Near Bus Stand, Chavakkad, Thrissur Guruvayoor",10
Kerala,Idukki,3 Star,Without Alcohol,AMBADY TOURIST HOME,"AMBADY TOURIST HOME, MUVATTUPUZHA ROAD, THODUPUZHA",10
Kerala,Idukki,3 Star,Without Alcohol,CHANDANA TOURIST HOME,"UDUMALPET ROAD, MARAYUR P O , IDUKKI DIST.",25
Kerala,Idukki,3 Star,Without Alcohol,DHANYA TOURIST HOME ,"Kallarkutty Road, Adimaly, Idukki District, Kerala State â€“ 685561 Idukki ",16
Kerala,Idukki,3 Star,Without Alcohol,HOTEL GREEN OASIS,"(A UNIT OF GREEN OASIS REGENCY HOTEL PRIVATE LIMITED), NEAR TELEPHONE EXCHANGE, MUTTOM, THODUPUZHA, IDUKKI DISTRICT",18
Kerala,Idukki,3 Star,Without Alcohol,Hotel Victoria International,"Orappankal Building, Central Junction, Kattappana.",10
Kerala,IRITTY,3 Star,Without Alcohol,HOTEL SURYA,"Near Iritty Bridge, Iritty- Post, Kannur -Dist,Kerala",11
Kerala,IRITTY,3 Star,Without Alcohol,K.K TOURIST HOME,"IRITTY, KANNUR DIST",20
Kerala,IRITTY,3 Star,Without Alcohol,Sky Paradise,"Vallithode, Kiliyanthara (P.O), Iritty ",16
Kerala,KALADY,3 Star,Without Alcohol,EDASSERY VILLAGE RESORT,"EDASSERY VILLAGE RESORT, CHENGAL, KALADY, ERNAKULAM DISTRICT-683574, KERALA",10
Kerala,Kalpetta,3 Star,Without Alcohol,Chembra Residency (A unit of jilsu associates LLP),Vellaramkunnu Kalpetta .P.O ,10
Kerala,Kanhangad,3 Star,Without Alcohol,MALANADU TOURIST HOME ,"North Kottacherry, Kanhangad, Kasaragod. ",14
Kerala,Kanhangad,3 Star,Without Alcohol,NEELESHWAR HERMITAGE,"OZHINHAVALAPPU-P.O., NILESHWAR-VIA, KASARAGOD-DIST.",18
Kerala,Kannur,3 Star,Without Alcohol,Geetha Residency,"post chirakkal, puthiyatheru, Kannur(Dist)",10
Kerala,Kannur,3 Star,Without Alcohol,Broad Bean ( A Unit Of KK Leisures and Tourism International Pvt. Ltd.),"Chakkarakkal. Mowenchery P O, Kannur Taluk, Kannur Dist.",15
Kerala,Kannur,3 Star,Without Alcohol,Hotel Parassini Polariz,"Near Snake Park, Kolmotta (p.o), Parassinikkadavu , Kannur",36
Kerala,Kannur,3 Star,Without Alcohol,Hotel Samudra,"Post Sreekandapuram, Kannur Dist., Kerala",11
Kerala,Kannur,3 Star,Without Alcohol,HOTEL SKY PARK,"IRITTY ROAD, MATTANUR, KANNUR",19
Kerala,Kannur,3 Star,Without Alcohol,LA SERENE HOTEL,"A UNIT OF INFINITY BUSINESS GROUP, NEAR VETERINARY HOSPITAL, MATTANUR.P.O, KANNUR-670702",14
Kerala,Kannur,3 Star,Without Alcohol,Lyndas Residency,"Alakkandy Arcade, T C Road, Kuthuparamba, Kannur Kannur",12
Kerala,Kannur,3 Star,Without Alcohol,Rajadhani,"Peravoor , Kannur Kannur",10
Kerala,Kannur,3 Star,Without Alcohol,SNEHA INN,"BAKKALAM, KANOOL.P.O, KANNUR",14
Kerala,Karunagapally,3 Star,Without Alcohol,Hotel Comfort Regency,"Hotel Comfort Regency,NH-66(47),Karunagapally,Kollam Dist,Kerala",11
Kerala,Karunagapally,3 Star,Without Alcohol,HOTEL INDRAPRASTHA,"NH 66,KARUNAGAPPALLY P.O.,KARUNAGAPPALLY,KOLLAM",21
Kerala,Kasaragod,3 Star,Without Alcohol,J.K. Residency Kasaragod,"Beach Road,Kasaragod Kasaragod",10
Kerala,KASARGOD,3 Star,Without Alcohol,HOTEL BEKAL PALACE,"PALAKUNNU,BEKAL P.O",20
Kerala,KASARGOD,3 Star,Without Alcohol,HOTEL LANDMARK,"HOTEL LANDMARK, ALAMIPPALLY P.O., KANHANGAD, KASARGOD DIST KASARGOD",12
Kerala,Kayamkulam,3 Star,Without Alcohol,HIGHWAY PALACE (A LEASED PROPERTY FROM HOTEL HIGHWAY PARK),"HIGHWAY PALACE (A LEASED PROPERTY FROM HOTEL HIGHWAY PARK), KAYAMKULAM",11
Kerala,Kayamkulam,3 Star,Without Alcohol,HOTEL ROMA CENTRAL ,"HOTEL ROMA CENTRAL, A UNIT OF HOTEL JN PRIVATE LIMITED, 2ND MILE, KOPRAPURA, PULLIKKANAKKU.P.O, KAYAMKULAM Kayamkulam ",10
Kerala,Kochi,3 Star,Without Alcohol,Arakkathara tourist home,"Arakkathara tourist home, Nambiyapuram Road, Palluruthy, Kochi 682006",10
Kerala,Kochi,3 Star,Without Alcohol,GINO TOURIST HOME,"KAKKANAD, KOCHI",10
Kerala,Kochi,3 Star,Without Alcohol,KALAMASSERY TOURIST HOME,"KALAMASSERY TOURIST HOME, OPP.APPOLO TYRES, KALAMASSERY NORTH.P.O, KALAMASSERY, ERNAKULAM DISTRICT, KERALA-683104",19
Kerala,Kochi,3 Star,Without Alcohol,The Cochin Legacy (Labella Hospitality Pvt. Ltd.),"Near Nairs Hospital, NH-47 Bye Pass, Maradu P.O,Ernakulam Dt. Kerala ",25
Kerala,Kochi,3 Star,Without Alcohol,THE INTERNATIONAL HOTEL,"PB NO 3563, VEEKSHANAM ROAD, M.G.ROAD, ERNAKULAM",35
Kerala,Kodungallur,3 Star,Without Alcohol,Aswathy Bar and Hotel,"South Nada, Kodungallur, Thrissur Kodungallur",10
Kerala,Kodungallur,3 Star,Without Alcohol,Hotel Palace EN Paradise,"Opposite KSRTC Bus Stand Sringapuram, Methala - Post Kodungallur ,Thrissur- District, Kerala",10
Kerala,Kodungallur,3 Star,Without Alcohol,KALLADA RESIDENCY,"SANTHIPURAM,KODUNGALLUR,THRISSUR DIST,KERALA STATE",10
Kerala,Kodungallur,3 Star,Without Alcohol,"Polakulath Tourist Home, Pullut ","Polakulath Tourist Home,Pullut - Narayanamangalam ,THRISSUR (Dis) - PIN :- 680663",10
Kerala,Kollam,3 Star,Without Alcohol,HIGHLAND HOTEL AND RESORTS,"HIGHLAND HOTEL AND RESORTS, OPP VAIDHYUTHI BHAVAN, NH-744, KOTTARAKARA PO, KOLLAM KERALALA, PIN-691506",22
Kerala,Kollam,3 Star,Without Alcohol,HOTEL ANTONY'S TOWER,"PATHANAPURAM, KOLLAM DIST",11
Kerala,Kollam,3 Star,Without Alcohol,HOTEL DE ORIENT,"Vadayattukotta Road, Near Head Post Office, Chinnakkada, Kollam ",10
Kerala,Kollam,3 Star,Without Alcohol,HOTEL DONA CASTLE ( a unit of Edassery Group of Hotels Pvt Ltd ),"HOTEL DONA CASTLE ( a unit of Edassery Group of Hotels Pvt Ltd ), LAKSHMINADA, KOTTAMUKKU, KOLLAM",17
Kerala,Kollam,3 Star,Without Alcohol,Hotel Emerald Palace,"Kannanalloor, Kollam",10
Kerala,Kollam,3 Star,Without Alcohol,HOTEL HARISREE,"MOONAMKUTTY,KILIKOLLOOR P.O.,KOLLAM",12
Kerala,Kollam,3 Star,Without Alcohol,Hotel Lake View ,"Thoppilkadavu, Thirumullavaram P.O, Kollam Kollam Kollam",10
Kerala,Kollam,3 Star,Without Alcohol,HOTEL PALAZHI,"KALLUMKADAVU, PATHANAPURAM, KOLLAM DISTRICT",11
Kerala,Kollam,3 Star,Without Alcohol,Hotel Railview,"Hotel Railview Opp. Kollam Junction Railway Station Chinnakkada, Kollam- 691001, Kerala ",18
Kerala,Kollam,3 Star,Without Alcohol,Hotel Sea Palace,Kochupilamood Kollam ,20
Kerala,Kollam,3 Star,Without Alcohol,Hotel Shilpa Retreat,Ayur Kollam,10
Kerala,Kollam,3 Star,Without Alcohol,HOTEL SOORYA,"KANNANALLOOR ROAD, KOTTIYAM P O, ",10
Kerala,Kollam,3 Star,Without Alcohol,HOTEL VIJAYA CASTLE,"A unit of V. Narayana Pillai and Company, Mannannamukku, Manakara, Sasthamkotta.P.O, Kollam District, Kerala State, Pin â€“ 690 521 ",21
Kerala,Kollam,3 Star,Without Alcohol,Hotel Vijaya Palace,"THATTASSERY, CHAVARA, KOLLAM",14
Kerala,Kollam,3 Star,Without Alcohol,Mangalath Hotel and Resorts,"Chadayamangalam, Kollam",15
Kerala,Kollam,3 Star,Without Alcohol,MARIYALAYAM MUNROE ISLAND RESIDENCY,"PATTAMTHURUTHU P O, MUNROETHURUTHU, KOLLAM",12
Kerala,Kollam,3 Star,Without Alcohol,ROYALE REGENCY HOTEL AND CONVENTION CENTER,"NH-66(47),OACHIRA,KOLLAM DISTRICT",29
Kerala,Kollam,3 Star,Without Alcohol,San Tourist Home ,"Kavanadu P.O., Kollam ",11
Kerala,Kollam,3 Star,Without Alcohol,SREE GOKULAM RESIDENCY ( A UNIT OF SREE GOKULAM HOTEL (INDIA )PVT LTD),"SREE GOKULAM RESIDENCY ( A UNIT OF SREE GOKULAM HOTEL (INDIA )PVT LTD), ADAYARA, OYOOR, KOLLAM",11
Kerala,Kollam,3 Star,Without Alcohol,THE ESQUIRE PARK,"IVARKALA WEST NORTH, PUTHENAMBALAM .P.O, KUNNATHUR, KOLLAM.",12
Kerala,Kollam,3 Star,Without Alcohol,Vijaya Hotel and Bar,"Pada South, Karunagappally, Kollam",10
Kerala,Kottayam,3 Star,Without Alcohol,Finch Hotels (A unit of Ms Finch Hotels and Traders Pvt Ltd),Vadakkekara Erattupetta Kottayam,19
Kerala,Kottayam,3 Star,Without Alcohol,HOTEL AIDA,"AIDA Jn, M.C.Road, Kottayam, Kerala",33
Kerala,Kottayam,3 Star,Without Alcohol,Hotel Alaina,Central Junction Karukachal Kottayam,10
Kerala,Kottayam,3 Star,Without Alcohol,Hotel Anjali Park,"K.K.Road, Kottayam ",19
Kerala,Kottayam,3 Star,Without Alcohol,HOTEL ARCADIA,"T.B.ROAD,OPPOSITE KSRTC BUS STATION,KOTTAYAM",47
Kerala,Kottayam,3 Star,Without Alcohol,Hotel Armani,"Galaxy Junction, Mundakayam, Kerala 686513",10
Kerala,Kottayam,3 Star,Without Alcohol,HOTEL BREEZE INTERNATIONAL ,"NEAR NO. 1 PVT. BUS STAND, KAVALA, CHANGANACHERRY, KOTTAYAM DISTRICT ",10
Kerala,Kottayam,3 Star,Without Alcohol,HOTEL CASTLE RESIDENCY,PERUVA.P.O,11
Kerala,Kottayam,3 Star,Without Alcohol,HOTEL MEDAS,"A UNIT OF KAY KAY ENTERPRISES, PONKUNNAM, KOTTAYAM DISTRICT - 686506",11
Kerala,Kottayam,3 Star,Without Alcohol,HOTEL NITHYA,"GANDHINAGAR, KOTTAYAM DISTRICT",11
Kerala,Kottayam,3 Star,Without Alcohol,Hotel Pankaj ,"Vaikom Road, Thalayolaparambu P O, Kottayam ",10
Kerala,Kottayam,3 Star,Without Alcohol,HOTEL PRESIDENCY,"KAVALA, CHANGANACHERRY, KOTTAYAM DISTRICT",10
Kerala,Kottayam,3 Star,Without Alcohol,"HOTEL PRINCE ,","K.K ROAD, KANJIKUZHY, KOTTAYAM",10
Kerala,Kottayam,3 Star,Without Alcohol,HOTEL SUMMERSAND RESTAURANT,"VELLOORE P O, PAMPADY, KOTTAYAM Kottayam",11
Kerala,Kottayam,3 Star,Without Alcohol,HOTEL VARSHA INTERNATIONAL RESIDENCY,"A UNIT OF ROYALGOLF HOTELS INDIA PRIVATE LIMITED, MANJOOR.P.O, KURUPPANTHARA, KOTTAYAM ",15
Kerala,Kottayam,3 Star,Without Alcohol,Hotel Zodiac International,"Kaduthuruthy, Kottayam",10
Kerala,Kottayam,3 Star,Without Alcohol,JOYEES RESIDENCY,"YMCA ROAD, KOTTAYAM Kottayam",12
Kerala,Kottayam,3 Star,Without Alcohol,Merlin Residency,"Manarcadu Jn, Kottayam",11
Kerala,Kovalam,3 Star,Without Alcohol,DIAMOND PALACE HOTEL,"Kovalam Bypass Road,Edavilakom,Vazhamuttom P.O., Kovalam,Trivandrum",10
Kerala,Kovalam,3 Star,Without Alcohol,HOTEL SEA FACE,"N.U.P Beach Road, Kovalam, Trivandrum.",20
Kerala,Koyilandy,3 Star,Without Alcohol,Kalyan Residency,"Railway station Road, Opp. New Bus stand. Koyilandy, Kozhikkode , Kerala",11
Kerala,Kozhikode,3 Star,Without Alcohol,Hotel Hasthinapuri Inn,"Chungam, Thamarassery, Kozhikode",14
Kerala,Kozhikode,3 Star,Without Alcohol,HOTEL MONAD,"KGP 20511,KARANTHUR PO, KUNNAMANGALAM, KOZHIKODE-KERALA-673571",20
Kerala,Kozhikode,3 Star,Without Alcohol,Hotel Springway (A unit of Hotel Springway LLP),"Building no KP-23622A, B, C, D, E, F&G wayanad road, Kunnamangalam Kozhikode",11
Kerala,Kozhikode,3 Star,Without Alcohol,HOTEL THUSHARA INTERNATIONAL,"KODENCHERRY P.O,VIA THAMARASSERY,KOZHIKODE DT.",19
Kerala,Kozhikode,3 Star,Without Alcohol,Kings Regency (A unit of King's Regency LLP),"Building No.5-540A, NH Bypass, Pantheerankavu Kozhikode",11
Kerala,Kozhikode,3 Star,Without Alcohol,KOVILAKAM RESIDENCY (A UNIT OF KOVILAKAM RESIDENCY PRIVATE LIMITED),"OPP: MIMS , MINI BYPASS ROAD, GOVINDAPURAM, KOZHIKODE-673016, KERALA Kozhikode",27
Kerala,Kozhikode,3 Star,Without Alcohol,MEDORA HOTEL,"Opposite Stadium,Pavamani Road,Kozhikode.",40
Kerala,Kozhikode,3 Star,Without Alcohol,Park Residency,"Ramanattukara, Kozhikode",16
Kerala,Kozhikode,3 Star,Without Alcohol,Queens Hotel,"Annie Hall Road, Near Railway station Road, Kozhikode",11
